Tue 01/23/2018 at  7:52:28.24 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/23/2018 at  7:52:28.24 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/23/2018 at  7:52:35.88 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/23/2018 at 13:02:42.68 	 IT101307 	  10.128.6.8(Preferred)  	 enghq Started Update 					
Tue 01/23/2018 at 13:02:42.68 	 IT101307 	  10.128.26.17(Preferred)  	 enghq Started Update 					
Tue 01/23/2018 at 13:02:52.60 	 IT101307 	 enghq Completed Update from \\NETWORKSRV05HQ 						
Tue 01/23/2018 at 13:04:10.02 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/23/2018 at 13:04:10.02 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 01/23/2018 at 13:04:16.22 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/23/2018 at 19:05:50.81 	 IT101307 	  10.0.70.4(Preferred)  	 devind Started Update 					
Tue 01/23/2018 at 19:05:50.81 	 IT101307 	 devind 						
Wed 01/24/2018 at  7:34:42.82 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/24/2018 at  7:34:51.05 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Wed 01/24/2018 at 13:32:19.09 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/24/2018 at 13:32:19.09 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 01/24/2018 at 13:32:25.81 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 01/24/2018 at 20:18:38.32 	 IT101307 	  10.0.70.5(Preferred)  	 devind Started Update 					
Wed 01/24/2018 at 20:18:38.32 	 IT101307 	 devind 						
Thu 01/25/2018 at  5:53:13.96 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 01/25/2018 at  5:53:27.45 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Fri 01/26/2018 at  7:47:06.25 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/26/2018 at  7:47:13.47 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 01/26/2018 at  9:01:49.01 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Fri 01/26/2018 at  9:01:55.99 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Fri 01/26/2018 at 16:21:59.07 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Fri 01/26/2018 at 16:22:26.53 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Sat 01/27/2018 at  9:52:49.66 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Sat 01/27/2018 at  9:53:19.37 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Sun 01/28/2018 at  8:41:25.35 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 01/28/2018 at  8:41:25.35 	 IT101307 	 devind 						
Sun 01/28/2018 at  9:28:12.66 	 IT101307 	  10.0.70.5(Preferred)  	 devind Started Update 					
Sun 01/28/2018 at  9:28:12.67 	 IT101307 	 devind 						
Sun 01/28/2018 at 11:13:41.81 	 IT101307 	  10.0.70.4(Preferred)  	 devind Started Update 					
Sun 01/28/2018 at 11:13:41.81 	 IT101307 	 devind 						
Sun 01/28/2018 at 14:31:01.61 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sun 01/28/2018 at 14:31:01.61 	 IT101307 	 devind 						
Mon 01/29/2018 at  6:38:44.33 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Mon 01/29/2018 at  6:38:44.33 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Mon 01/29/2018 at  6:38:52.17 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/30/2018 at 11:38:18.19 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 01/30/2018 at 11:38:38.40 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Tue 01/30/2018 at 19:06:38.34 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Tue 01/30/2018 at 19:06:38.34 	 IT101307 	 devind 						
Wed 01/31/2018 at  6:28:39.66 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 01/31/2018 at  6:28:56.18 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Wed 01/31/2018 at 19:26:14.86 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Wed 01/31/2018 at 19:26:14.86 	 IT101307 	 devind 						
Thu 02/01/2018 at  6:48:15.71 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/01/2018 at  6:48:15.71 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 02/01/2018 at  6:48:44.70 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Thu 02/01/2018 at 10:50:11.54 	 IT101307 	 jber03 						
Thu 02/01/2018 at 12:41:16.20 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/01/2018 at 12:41:16.20 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 02/01/2018 at 12:41:22.16 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Sat 02/03/2018 at 10:17:37.41 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Sat 02/03/2018 at 10:17:37.41 	 IT101307 	 devind 						
Mon 02/05/2018 at  7:17:23.15 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Mon 02/05/2018 at  7:17:23.15 	 IT101307 	 devind 						
Tue 02/06/2018 at  7:59:29.21 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 02/06/2018 at  7:59:29.21 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 02/06/2018 at  7:59:45.53 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Tue 02/06/2018 at  9:48:10.24 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Tue 02/06/2018 at  9:48:10.24 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Tue 02/06/2018 at  9:48:16.76 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 02/07/2018 at  7:39:22.56 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Wed 02/07/2018 at  7:39:22.56 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Wed 02/07/2018 at  7:39:55.95 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Wed 02/07/2018 at 19:58:12.16 	 IT101307 	  10.0.70.3(Preferred)  	 devind Started Update 					
Wed 02/07/2018 at 19:58:12.16 	 IT101307 	 devind 						
Thu 02/08/2018 at  5:07:27.34 	 IT101307 	  10.0.70.2(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at  5:07:27.34 	 IT101307 	 devind 						
Thu 02/08/2018 at  7:29:19.20 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at  7:29:19.20 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at  7:29:27.39 	 IT101307 	 devind Completed Update from \\NETWORKSRV04HQ 						
Thu 02/08/2018 at 15:43:14.27 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at 15:43:41.92 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
Thu 02/08/2018 at 17:01:16.93 	 IT101307 	  10.128.6.8(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at 17:01:16.93 	 IT101307 	  10.128.26.17(Preferred)  	 devind Started Update 					
Thu 02/08/2018 at 17:01:25.77 	 IT101307 	 devind Completed Update from \\NETWORKSRV05HQ 						
